N2,xslice,h2,h,cf
901120.,  0.75     , 1.10973e-6,  1.05344e-3,  0.59332833600000E-02
225280.,  0.75     , 4.43892e-6,  2.10687e-3,  0.59074005100000E-02
 56320.,  0.75     , 1.77557e-5,  4.21375e-3,  0.58490247500000E-02
 14080.,  0.75     , 7.10227e-5,  8.42750e-3,  0.56961742200000E-02
  3520.,  0.75     , 2.84091e-4,  1.68550e-2,  0.52396715600000E-02
901120.,  0.6321975, 1.10973e-6,  1.05344e-3,  0.50247125300000E-02
225280.,  0.6321975, 4.43892e-6,  2.10687e-3,  0.50085489600000E-02
 56320.,  0.6321975, 1.77557e-5,  4.21375e-3,  0.49770432500000E-02
 14080.,  0.6321975, 7.10227e-5,  8.42750e-3,  0.49250386700000E-02
  3520.,  0.6321975, 2.84091e-4,  1.68550e-2,  0.48952321500000E-02
901120.,  0.8678025, 1.10973e-6,  1.05344e-3,  0.26024561400000E-02
225280.,  0.8678025, 4.43892e-6,  2.10687e-3,  0.26007180600000E-02
 56320.,  0.8678025, 1.77557e-5,  4.21375e-3,  0.25968083600000E-02
 14080.,  0.8678025, 7.10227e-5,  8.42750e-3,  0.25864499600000E-02
  3520.,  0.8678025, 2.84091e-4,  1.68550e-2,  0.25808550400000E-02
