N2,xslice,h2,h,cf
901120.,  0.75     , 1.10973e-6,  1.05344e-3,  5.853800103E-03
225280.,  0.75     , 4.43892e-6,  2.10687e-3,  5.829360802E-03
 56320.,  0.75     , 1.77557e-5,  4.21375e-3,  5.764481612E-03
 14080.,  0.75     , 7.10227e-5,  8.42750e-3,  5.612602923E-03
  3520.,  0.75     , 2.84091e-4,  1.68550e-2,  5.219778512E-03
901120.,  0.6321975, 1.10973e-6,  1.05344e-3,  5.068458617E-03
225280.,  0.6321975, 4.43892e-6,  2.10687e-3,  5.057441071E-03
 56320.,  0.6321975, 1.77557e-5,  4.21375e-3,  5.029159132E-03
 14080.,  0.6321975, 7.10227e-5,  8.42750e-3,  4.946349654E-03
  3520.,  0.6321975, 2.84091e-4,  1.68550e-2,  4.631905816E-03
901120.,  0.8678025, 1.10973e-6,  1.05344e-3,  2.493766835E-03
225280.,  0.8678025, 4.43892e-6,  2.10687e-3,  2.500552451E-03
 56320.,  0.8678025, 1.77557e-5,  4.21375e-3,  2.515611239E-03
 14080.,  0.8678025, 7.10227e-5,  8.42750e-3,  2.599713160E-03
  3520.,  0.8678025, 2.84091e-4,  1.68550e-2,  2.883331617E-03
