x y sdr tke
 7.500000000E-01 5.000025034E-02 8.298397064E+00 2.657764113E-11
 7.500000000E-01 5.000074208E-02 1.114398837E+00 2.969425539E-10
 7.500000000E-01 5.000124127E-02 3.498409688E-01 1.440823572E-09
 7.500000000E-01 5.000174046E-02 1.624747068E-01 4.450935176E-09
 7.500000000E-01 5.000223219E-02 9.310016781E-02 1.040597031E-08
 7.500000000E-01 5.000273138E-02 5.975366756E-02 2.074365391E-08
 7.500000000E-01 5.000323057E-02 4.153117910E-02 3.676333549E-08
 7.500000000E-01 5.000372976E-02 3.048690408E-02 5.999179820E-08
 7.500000000E-01 5.000422895E-02 2.332216688E-02 9.188261174E-08
 7.500000000E-01 5.000473559E-02 1.835218817E-02 1.347121099E-07
 7.500000000E-01 5.000524223E-02 1.481487323E-02 1.897665953E-07
 7.500000000E-01 5.000574887E-02 1.221617684E-02 2.585304912E-07
 7.500000000E-01 5.000625551E-02 1.024395041E-02 3.429956621E-07
 7.500000000E-01 5.000676960E-02 8.692113683E-03 4.466667178E-07
 7.500000000E-01 5.000728369E-02 7.466370240E-03 5.704746968E-07
 7.500000000E-01 5.000780523E-02 6.471901201E-03 7.182210311E-07
 7.500000000E-01 5.000832677E-02 5.664842669E-03 8.903452340E-07
 7.500000000E-01 5.000884831E-02 4.998736084E-03 1.089638431E-06
 7.500000000E-01 5.000936985E-02 4.446094390E-03 1.316840439E-06
 7.500000000E-01 5.000990629E-02 3.968651872E-03 1.582648110E-06
 7.500000000E-01 5.001044273E-02 3.563326085E-03 1.884564085E-06
 7.500000000E-01 5.001097918E-02 3.218540223E-03 2.223012416E-06
 7.500000000E-01 5.001153052E-02 2.915092744E-03 2.611276614E-06
 7.500000000E-01 5.001208186E-02 2.652874915E-03 3.044486903E-06
 7.500000000E-01 5.001263320E-02 2.424739301E-03 3.525578222E-06
 7.500000000E-01 5.001319200E-02 2.223146148E-03 4.063170763E-06
 7.500000000E-01 5.001375079E-02 2.046428854E-03 4.653852557E-06
 7.500000000E-01 5.001432449E-02 1.886753715E-03 5.318304829E-06
 7.500000000E-01 5.001489818E-02 1.745695132E-03 6.044526344E-06
 7.500000000E-01 5.001547933E-02 1.618936192E-03 6.846149972E-06
 7.500000000E-01 5.001607537E-02 1.503665466E-03 7.737560736E-06
 7.500000000E-01 5.001667142E-02 1.401117304E-03 8.701771549E-06
 7.500000000E-01 5.001726747E-02 1.309197047E-03 9.744815543E-06
 7.500000000E-01 5.001787841E-02 1.224791748E-03 1.089518173E-05
 7.500000000E-01 5.001848936E-02 1.148961019E-03 1.213066389E-05
 7.500000000E-01 5.001911521E-02 1.078802161E-03 1.349121430E-05
 7.500000000E-01 5.001974851E-02 1.014951151E-03 1.496002369E-05
 7.500000000E-01 5.002038181E-02 9.573333664E-04 1.652326864E-05
 7.500000000E-01 5.002103746E-02 9.032554808E-04 1.824778519E-05
 7.500000000E-01 5.002169311E-02 8.541569114E-04 2.008232696E-05
 7.500000000E-01 5.002235621E-02 8.090811898E-04 2.204563498E-05
 7.500000000E-01 5.002303421E-02 7.671694621E-04 2.416612369E-05
 7.500000000E-01 5.002371222E-02 7.289781934E-04 2.640103958E-05
 7.500000000E-01 5.002440512E-02 6.933352561E-04 2.880320244E-05
 7.500000000E-01 5.002510548E-02 6.603871007E-04 3.135168663E-05
 7.500000000E-01 5.002582073E-02 6.296423962E-04 3.407074837E-05
 7.500000000E-01 5.002655089E-02 6.009271019E-04 3.696494605E-05
 7.500000000E-01 5.002728105E-02 5.745308590E-04 3.998332249E-05
 7.500000000E-01 5.002802610E-02 5.497849197E-04 4.317917410E-05
 7.500000000E-01 5.002878606E-02 5.266166409E-04 4.654626173E-05
 7.500000000E-01 5.002955347E-02 5.050488980E-04 5.005854837E-05
 7.500000000E-01 5.003033578E-02 4.847439996E-04 5.374828106E-05
 7.500000000E-01 5.003112555E-02 4.657800600E-04 5.757744293E-05
 7.500000000E-01 5.003193021E-02 4.479131021E-04 6.156870222E-05
 7.500000000E-01 5.003274977E-02 4.310938530E-04 6.570821279E-05
 7.500000000E-01 5.003358424E-02 4.152014153E-04 6.999963080E-05
 7.500000000E-01 5.003443360E-02 4.001652414E-04 7.443608047E-05
 7.500000000E-01 5.003529042E-02 3.860674915E-04 7.896048191E-05
 7.500000000E-01 5.003616214E-02 3.726800787E-04 8.361285290E-05
 7.500000000E-01 5.003705621E-02 3.598744224E-04 8.841370436E-05
 7.500000000E-01 5.003795028E-02 3.479297447E-04 9.322309779E-05
 7.500000000E-01 5.003887415E-02 3.363495634E-04 9.821070853E-05
 7.500000000E-01 5.003981292E-02 3.253422910E-04 1.032648215E-04
 7.500000000E-01 5.004076660E-02 3.148616524E-04 1.083748139E-04
 7.500000000E-01 5.004172772E-02 3.049249062E-04 1.134989288E-04
 7.500000000E-01 5.004271865E-02 2.953095827E-04 1.187250891E-04
 7.500000000E-01 5.004371703E-02 2.861866669E-04 1.239339181E-04
 7.500000000E-01 5.004473776E-02 2.774060704E-04 1.291825029E-04
 7.500000000E-01 5.004577339E-02 2.690071124E-04 1.344222110E-04
 7.500000000E-01 5.004683137E-02 2.608938375E-04 1.396893203E-04
 7.500000000E-01 5.004790425E-02 2.531187492E-04 1.449273987E-04
 7.500000000E-01 5.004900694E-02 2.455723879E-04 1.501896040E-04
 7.500000000E-01 5.005011708E-02 2.383887477E-04 1.553611364E-04
 7.500000000E-01 5.005125701E-02 2.314059966E-04 1.605382276E-04
 7.500000000E-01 5.005240440E-02 2.247454540E-04 1.656124223E-04
 7.500000000E-01 5.005358905E-02 2.182231110E-04 1.707075717E-04
 7.500000000E-01 5.005478859E-02 2.119647106E-04 1.757112332E-04
 7.500000000E-01 5.005601048E-02 2.059173858E-04 1.806499349E-04
 7.500000000E-01 5.005725473E-02 2.000711829E-04 1.855191949E-04
 7.500000000E-01 5.005852133E-02 1.944251417E-04 1.903090742E-04
 7.500000000E-01 5.005981028E-02 1.889694395E-04 1.950177539E-04
 7.500000000E-01 5.006112903E-02 1.836586744E-04 1.996759383E-04
 7.500000000E-01 5.006247014E-02 1.785317436E-04 2.042414126E-04
 7.500000000E-01 5.006383359E-02 1.735794940E-04 2.087139874E-04
 7.500000000E-01 5.006523430E-02 1.687372132E-04 2.131455549E-04
 7.500000000E-01 5.006664991E-02 1.640891278E-04 2.174523979E-04
 7.500000000E-01 5.006809533E-02 1.595777139E-04 2.216810390E-04
 7.500000000E-01 5.006957054E-02 1.551932946E-04 2.258352179E-04
 7.500000000E-01 5.007107556E-02 1.509376452E-04 2.299082116E-04
 7.500000000E-01 5.007259548E-02 1.468507107E-04 2.338564955E-04
 7.500000000E-01 5.007416010E-02 1.428478863E-04 2.377573546E-04
 7.500000000E-01 5.007575452E-02 1.389659155E-04 2.415713097E-04
 7.500000000E-01 5.007737875E-02 1.352006657E-04 2.452985791E-04
 7.500000000E-01 5.007902533E-02 1.315683330E-04 2.489193866E-04
 7.500000000E-01 5.008071661E-02 1.280202268E-04 2.524789888E-04
 7.500000000E-01 5.008243024E-02 1.245961321E-04 2.559345157E-04
 7.500000000E-01 5.008418113E-02 1.212658535E-04 2.593135578E-04
 7.500000000E-01 5.008596182E-02 1.180435647E-04 2.625990601E-04
 7.500000000E-01 5.008778721E-02 1.148965457E-04 2.658221056E-04
 7.500000000E-01 5.008964241E-02 1.118544242E-04 2.689501271E-04
 7.500000000E-01 5.009153485E-02 1.089010984E-04 2.719975018E-04
 7.500000000E-01 5.009346455E-02 1.060311333E-04 2.749679843E-04
 7.500000000E-01 5.009543896E-02 1.032345026E-04 2.778701601E-04
 7.500000000E-01 5.009743571E-02 1.005419617E-04 2.806703851E-04
 7.500000000E-01 5.009949207E-02 9.790340118E-05 2.834192419E-04
 7.500000000E-01 5.010157824E-02 9.535537538E-05 2.860772074E-04
 7.500000000E-01 5.010370165E-02 9.288296133E-05 2.886584844E-04
 7.500000000E-01 5.010586977E-02 9.047958883E-05 2.911686315E-04
 7.500000000E-01 5.010809004E-02 8.813760360E-05 2.936145174E-04
 7.500000000E-01 5.011034012E-02 8.587608318E-05 2.959750709E-04
 7.500000000E-01 5.011264980E-02 8.366499969E-05 2.982806473E-04
 7.500000000E-01 5.011498928E-02 8.153090312E-05 3.005025792E-04
 7.500000000E-01 5.011738837E-02 7.944784011E-05 3.026669729E-04
 7.500000000E-01 5.011983216E-02 7.742733578E-05 3.047610226E-04
 7.500000000E-01 5.012232065E-02 7.546570123E-05 3.067877842E-04
 7.500000000E-01 5.012486875E-02 7.355278649E-05 3.087569494E-04
 7.500000000E-01 5.012746155E-02 7.169957098E-05 3.106565564E-04
 7.500000000E-01 5.013009906E-02 6.990236579E-05 3.124897776E-04
 7.500000000E-01 5.013279617E-02 6.815199595E-05 3.142653732E-04
 7.500000000E-01 5.013555288E-02 6.644740643E-05 3.159838088E-04
 7.500000000E-01 5.013835430E-02 6.479617150E-05 3.176369355E-04
 7.500000000E-01 5.014121532E-02 6.318990927E-05 3.192326985E-04
 7.500000000E-01 5.014413595E-02 6.162640057E-05 3.207728441E-04
 7.500000000E-01 5.014711618E-02 6.010641300E-05 3.222561209E-04
 7.500000000E-01 5.015015602E-02 5.862860780E-05 3.236834600E-04
 7.500000000E-01 5.015325546E-02 5.719255569E-05 3.250549198E-04
 7.500000000E-01 5.015641451E-02 5.579767458E-05 3.263707913E-04
 7.500000000E-01 5.015963316E-02 5.444177805E-05 3.276328207E-04
 7.500000000E-01 5.016292632E-02 5.311922723E-05 3.288459848E-04
 7.500000000E-01 5.016627908E-02 5.183567191E-05 3.300047538E-04
 7.500000000E-01 5.016970634E-02 5.058431270E-05 3.311150649E-04
 7.500000000E-01 5.017320067E-02 4.936763798E-05 3.321744152E-04
 7.500000000E-01 5.017676204E-02 4.818512025E-05 3.331831540E-04
 7.500000000E-01 5.018039793E-02 4.703386730E-05 3.341435804E-04
 7.500000000E-01 5.018410832E-02 4.591299876E-05 3.350562183E-04
 7.500000000E-01 5.018789321E-02 4.482218355E-05 3.359211842E-04
 7.500000000E-01 5.019175261E-02 4.376150900E-05 3.367383324E-04
 7.500000000E-01 5.019569397E-02 4.272757724E-05 3.375101951E-04
 7.500000000E-01 5.019970238E-02 4.172429180E-05 3.382338327E-04
 7.500000000E-01 5.020380765E-02 4.074386743E-05 3.389147460E-04
 7.500000000E-01 5.020798743E-02 3.979098256E-05 3.395495878E-04
 7.500000000E-01 5.021224916E-02 3.886344348E-05 3.401398717E-04
 7.500000000E-01 5.021660775E-02 3.795817975E-05 3.406874603E-04
 7.500000000E-01 5.022104830E-02 3.707798169E-05 3.411906364E-04
 7.500000000E-01 5.022557825E-02 3.622022632E-05 3.416509717E-04
 7.500000000E-01 5.023020506E-02 3.538362216E-05 3.420691355E-04
 7.500000000E-01 5.023491383E-02 3.457079220E-05 3.424439055E-04
 7.500000000E-01 5.023972690E-02 3.377749454E-05 3.427773481E-04
 7.500000000E-01 5.024463683E-02 3.300442768E-05 3.430691722E-04
 7.500000000E-01 5.024965107E-02 3.225018008E-05 3.433199599E-04
 7.500000000E-01 5.025476217E-02 3.151558485E-05 3.435294784E-04
 7.500000000E-01 5.025997013E-02 3.080051465E-05 3.436980187E-04
 7.500000000E-01 5.026528984E-02 3.010261571E-05 3.438262502E-04
 7.500000000E-01 5.027072132E-02 2.942169158E-05 3.439142602E-04
 7.500000000E-01 5.027624965E-02 2.875925748E-05 3.439621069E-04
 7.500000000E-01 5.028190464E-02 2.811148988E-05 3.439701977E-04
 7.500000000E-01 5.028767139E-02 2.748012957E-05 3.439385910E-04
 7.500000000E-01 5.029354990E-02 2.686484731E-05 3.438675194E-04
 7.500000000E-01 5.029955506E-02 2.626384412E-05 3.437569831E-04
 7.500000000E-01 5.030567944E-02 2.567765478E-05 3.436072730E-04
 7.500000000E-01 5.031192303E-02 2.510616650E-05 3.434186219E-04
 7.500000000E-01 5.031830072E-02 2.454778951E-05 3.431907389E-04
 7.500000000E-01 5.032479763E-02 2.400358608E-05 3.429243516E-04
 7.500000000E-01 5.033143610E-02 2.347160989E-05 3.426187614E-04
 7.500000000E-01 5.033820868E-02 2.295242848E-05 3.422744630E-04
 7.500000000E-01 5.034511536E-02 2.244579264E-05 3.418917186E-04
 7.500000000E-01 5.035216361E-02 2.195093657E-05 3.414702660E-04
 7.500000000E-01 5.035935342E-02 2.146778388E-05 3.410103091E-04
 7.500000000E-01 5.036669225E-02 2.099575431E-05 3.405117022E-04
 7.500000000E-01 5.037418008E-02 2.053466051E-05 3.399745328E-04
 7.500000000E-01 5.038182437E-02 2.008386946E-05 3.393983934E-04
 7.500000000E-01 5.038961768E-02 1.964384319E-05 3.387843026E-04
 7.500000000E-01 5.039756745E-02 1.921394505E-05 3.381318529E-04
 7.500000000E-01 5.040568113E-02 1.879359843E-05 3.374405205E-04
 7.500000000E-01 5.041396618E-02 1.838246317E-05 3.367101599E-04
 7.500000000E-01 5.042241514E-02 1.798083031E-05 3.359416733E-04
 7.500000000E-01 5.043102801E-02 1.758849248E-05 3.351353225E-04
 7.500000000E-01 5.043982714E-02 1.720436376E-05 3.342892742E-04
 7.500000000E-01 5.044880509E-02 1.682872426E-05 3.334045468E-04
