x y mut
 7.500000000E-01 5.000025034E-02 1.497501081E-11
 7.500000000E-01 5.000074208E-02 5.530479963E-10
 7.500000000E-01 5.000124127E-02 5.917676127E-09
 7.500000000E-01 5.000174046E-02 3.329657972E-08
 7.500000000E-01 5.000223219E-02 1.253101516E-07
 7.500000000E-01 5.000273138E-02 3.720265340E-07
 7.500000000E-01 5.000323057E-02 9.237327845E-07
 7.500000000E-01 5.000372976E-02 2.019017302E-06
 7.500000000E-01 5.000422895E-02 3.996894065E-06
 7.500000000E-01 5.000473559E-02 7.386987363E-06
 7.500000000E-01 5.000524223E-02 1.281573623E-05
 7.500000000E-01 5.000574887E-02 2.108321496E-05
 7.500000000E-01 5.000625551E-02 3.324746649E-05
 7.500000000E-01 5.000676960E-02 5.089255865E-05
 7.500000000E-01 5.000728369E-02 7.551264571E-05
 7.500000000E-01 5.000780523E-02 1.094902982E-04
 7.500000000E-01 5.000832677E-02 1.548532600E-04
 7.500000000E-01 5.000884831E-02 2.145249455E-04
 7.500000000E-01 5.000936985E-02 2.912069613E-04
 7.500000000E-01 5.000990629E-02 3.917659342E-04
 7.500000000E-01 5.001044273E-02 5.191976088E-04
 7.500000000E-01 5.001097918E-02 6.776424125E-04
 7.500000000E-01 5.001153052E-02 8.783823578E-04
 7.500000000E-01 5.001208186E-02 1.124807866E-03
 7.500000000E-01 5.001263320E-02 1.424531685E-03
 7.500000000E-01 5.001319200E-02 1.789979171E-03
 7.500000000E-01 5.001375079E-02 2.226544311E-03
 7.500000000E-01 5.001432449E-02 2.758971415E-03
 7.500000000E-01 5.001489818E-02 3.388225567E-03
 7.500000000E-01 5.001547933E-02 4.137083888E-03
 7.500000000E-01 5.001607537E-02 5.033100490E-03
 7.500000000E-01 5.001667142E-02 6.073419470E-03
 7.500000000E-01 5.001726747E-02 7.277724333E-03
 7.500000000E-01 5.001787841E-02 8.696195669E-03
 7.500000000E-01 5.001848936E-02 1.031987276E-02
 7.500000000E-01 5.001911521E-02 1.222207490E-02
 7.500000000E-01 5.001974851E-02 1.440351084E-02
 7.500000000E-01 5.002038181E-02 1.686419174E-02
 7.500000000E-01 5.002103746E-02 1.973716915E-02
 7.500000000E-01 5.002169311E-02 2.296777628E-02
 7.500000000E-01 5.002235621E-02 2.661545016E-02
 7.500000000E-01 5.002303421E-02 3.076674975E-02
 7.500000000E-01 5.002371222E-02 3.537034243E-02
 7.500000000E-01 5.002440512E-02 4.056940600E-02
 7.500000000E-01 5.002510548E-02 4.635903239E-02
 7.500000000E-01 5.002582073E-02 5.283632502E-02
 7.500000000E-01 5.002655089E-02 6.006032228E-02
 7.500000000E-01 5.002728105E-02 6.794577837E-02
 7.500000000E-01 5.002802610E-02 7.667566091E-02
 7.500000000E-01 5.002878606E-02 8.628733456E-02
 7.500000000E-01 5.002955347E-02 9.675744921E-02
 7.500000000E-01 5.003033578E-02 1.082370654E-01
 7.500000000E-01 5.003112555E-02 1.206650585E-01
 7.500000000E-01 5.003193021E-02 1.341726482E-01
 7.500000000E-01 5.003274977E-02 1.487766355E-01
 7.500000000E-01 5.003358424E-02 1.645562649E-01
 7.500000000E-01 5.003443360E-02 1.815572381E-01
 7.500000000E-01 5.003529042E-02 1.996225417E-01
 7.500000000E-01 5.003616214E-02 2.189750820E-01
 7.500000000E-01 5.003705621E-02 2.397851497E-01
 7.500000000E-01 5.003795028E-02 2.615067959E-01
 7.500000000E-01 5.003887415E-02 2.849818766E-01
 7.500000000E-01 5.003981292E-02 3.097850382E-01
 7.500000000E-01 5.004076660E-02 3.359366655E-01
 7.500000000E-01 5.004172772E-02 3.632863462E-01
 7.500000000E-01 5.004271865E-02 3.923894763E-01
 7.500000000E-01 5.004371703E-02 4.226649404E-01
 7.500000000E-01 5.004473776E-02 4.545137286E-01
 7.500000000E-01 5.004577339E-02 4.877206683E-01
 7.500000000E-01 5.004683137E-02 5.225990415E-01
 7.500000000E-01 5.004790425E-02 5.588577986E-01
 7.500000000E-01 5.004900694E-02 5.969555378E-01
 7.500000000E-01 5.005011708E-02 6.361293793E-01
 7.500000000E-01 5.005125701E-02 6.771740913E-01
 7.500000000E-01 5.005240440E-02 7.192943692E-01
 7.500000000E-01 5.005358905E-02 7.635990977E-01
 7.500000000E-01 5.005478859E-02 8.092046976E-01
 7.500000000E-01 5.005601048E-02 8.551476598E-01
 7.500000000E-01 5.005725473E-02 9.013968706E-01
 7.500000000E-01 5.005852133E-02 9.491482377E-01
 7.500000000E-01 5.005981028E-02 9.985104799E-01
 7.500000000E-01 5.006112903E-02 1.049877167E+00
 7.500000000E-01 5.006247014E-02 1.102848291E+00
 7.500000000E-01 5.006383359E-02 1.157451153E+00
 7.500000000E-01 5.006523430E-02 1.214396834E+00
 7.500000000E-01 5.006664991E-02 1.272657633E+00
 7.500000000E-01 5.006809533E-02 1.332872152E+00
 7.500000000E-01 5.006957054E-02 1.395154238E+00
 7.500000000E-01 5.007107556E-02 1.459462047E+00
 7.500000000E-01 5.007259548E-02 1.525103569E+00
 7.500000000E-01 5.007416010E-02 1.593398690E+00
 7.500000000E-01 5.007575452E-02 1.663740516E+00
 7.500000000E-01 5.007737875E-02 1.736162663E+00
 7.500000000E-01 5.007902533E-02 1.810276031E+00
 7.500000000E-01 5.008071661E-02 1.887037992E+00
 7.500000000E-01 5.008243024E-02 1.965553999E+00
 7.500000000E-01 5.008418113E-02 2.046449661E+00
 7.500000000E-01 5.008596182E-02 2.129329681E+00
