x,cf,cp
2.780639759E-16, 2.099938877E-02,  6.347700208E-02
7.999999798E-04, 1.480161957E-02,  3.500699997E-02
1.606264967E-03, 7.898731157E-03,  2.367299981E-02
2.418837277E-03, 6.722596008E-03,  2.589900047E-02
3.237759229E-03, 5.987591576E-03,  2.532999963E-02
4.063073546E-03, 5.445454270E-03,  2.578300051E-02
4.894822836E-03, 5.026073661E-03,  2.618199959E-02
5.733050406E-03, 4.687803332E-03,  2.689700015E-02
6.577799562E-03, 4.408191424E-03,  2.782999910E-02
7.429112680E-03, 4.172356799E-03,  2.887599915E-02
8.287033997E-03, 3.970737103E-03,  2.980899997E-02
9.151606821E-03, 3.796770005E-03,  3.047700040E-02
1.002287492E-02, 3.646246390E-03,  3.086099960E-02
1.090088207E-02, 3.517032834E-03,  3.103099950E-02
1.178567298E-02, 3.409542609E-03,  3.106700070E-02
1.267729141E-02, 3.327521263E-03,  3.104300052E-02
1.357578207E-02, 3.278415417E-03,  3.100099973E-02
1.448118873E-02, 3.272150643E-03,  3.096199967E-02
1.539355703E-02, 3.317756578E-03,  3.093899973E-02
1.631293073E-02, 3.418761771E-03,  3.092700057E-02
1.723935641E-02, 3.569547320E-03,  3.092700057E-02
1.817287691E-02, 3.754766891E-03,  3.093600087E-02
1.911354065E-02, 3.952762578E-03,  3.094800003E-02
2.006139047E-02, 4.142127465E-03,  3.096500039E-02
2.101647109E-02, 4.308216739E-03,  3.098299913E-02
2.197883092E-02, 4.445581697E-03,  3.100099973E-02
2.294851467E-02, 4.555535037E-03,  3.101900034E-02
2.392556891E-02, 4.642147571E-03,  3.103999980E-02
2.491003834E-02, 4.709689412E-03,  3.106099926E-02
2.590196952E-02, 4.761714023E-03,  3.108200058E-02
2.690140903E-02, 4.800959490E-03,  3.110300004E-02
2.790840343E-02, 4.829597194E-03,  3.112599999E-02
2.892299928E-02, 4.849467427E-03,  3.115300089E-02
2.994524129E-02, 4.862187896E-03,  3.118300065E-02
3.097517975E-02, 4.869169090E-03,  3.121599928E-02
3.201285750E-02, 4.871608224E-03,  3.124899976E-02
3.305832669E-02, 4.870489705E-03,  3.128699958E-02
3.411163017E-02, 4.866597708E-03,  3.132599965E-02
3.517281637E-02, 4.860546906E-03,  3.136799857E-02
3.624192998E-02, 4.852808081E-03,  3.141200170E-02
3.731902316E-02, 4.843744449E-03,  3.145699948E-02
3.840414062E-02, 4.833635408E-03,  3.150799870E-02
3.949733078E-02, 4.822701216E-03,  3.155900165E-02
4.059864208E-02, 4.811113700E-03,  3.161200136E-02
4.170811921E-02, 4.799005110E-03,  3.166899830E-02
4.282581061E-02, 4.786475562E-03,  3.172500059E-02
4.395176470E-02, 4.773596767E-03,  3.178799897E-02
4.508602992E-02, 4.760418087E-03,  3.185100108E-02
4.622865468E-02, 4.746969789E-03,  3.191300109E-02
4.737968370E-02, 4.733275156E-03,  3.197899833E-02
4.853916913E-02, 4.719351418E-03,  3.204699978E-02
4.970715567E-02, 4.705210216E-03,  3.211899847E-02
5.088369548E-02, 4.690862261E-03,  3.218999878E-02
5.206883326E-02, 4.676317330E-03,  3.226500005E-02
5.326262116E-02, 4.661584273E-03,  3.234200180E-02
5.446510017E-02, 4.646674730E-03,  3.241999820E-02
5.567632616E-02, 4.631600343E-03,  3.249999881E-02
5.689634383E-02, 4.616377875E-03,  3.258400038E-02
5.812519789E-02, 4.601027351E-03,  3.266699985E-02
5.936294422E-02, 4.585570190E-03,  3.275400028E-02
6.060962752E-02, 4.570026416E-03,  3.284300119E-02
6.186529621E-02, 4.554416519E-03,  3.293199837E-02
6.312999874E-02, 4.538760055E-03,  3.302500024E-02
6.440377980E-02, 4.523074720E-03,  3.311999887E-02
6.568669528E-02, 4.507377744E-03,  3.321599960E-02
6.697878242E-02, 4.491683561E-03,  3.331400082E-02
6.828010082E-02, 4.476006608E-03,  3.341500089E-02
6.959069520E-02, 4.460364114E-03,  3.351999819E-02
7.091061771E-02, 4.444771446E-03,  3.362400085E-02
7.223990560E-02, 4.429245368E-03,  3.373099864E-02
7.357861102E-02, 4.413798451E-03,  3.384099901E-02
7.492678612E-02, 4.398441408E-03,  3.395200148E-02
7.628447562E-02, 4.383182153E-03,  3.406500071E-02
7.765173167E-02, 4.368028138E-03,  3.418099880E-02
7.902859896E-02, 4.352980759E-03,  3.429999948E-02
8.041512221E-02, 4.338038620E-03,  3.441999853E-02
8.181135356E-02, 4.323198460E-03,  3.454500064E-02
8.321733773E-02, 4.308457952E-03,  3.466700017E-02
8.463312685E-02, 4.293817561E-03,  3.479500115E-02
8.605875820E-02, 4.279279616E-03,  3.492600098E-02
8.749429882E-02, 4.264847841E-03,  3.505700082E-02
8.893977106E-02, 4.250526428E-03,  3.519099951E-02
9.039524198E-02, 4.236319568E-03,  3.532899916E-02
9.186074883E-02, 4.222230054E-03,  3.546899930E-02
9.333634377E-02, 4.208259284E-03,  3.560899943E-02
9.482206404E-02, 4.194407258E-03,  3.575500101E-02
9.631796926E-02, 4.180673044E-03,  3.590099886E-02
9.782408923E-02, 4.167058505E-03,  3.605299816E-02
9.934049100E-02, 4.153564572E-03,  3.620500118E-02
1.008672044E-01, 4.140192177E-03,  3.635999933E-02
1.024042815E-01, 4.126940388E-03,  3.652099892E-02
1.039517671E-01, 4.113808740E-03,  3.668199852E-02
1.055097058E-01, 4.100795835E-03,  3.684499860E-02
1.070781425E-01, 4.087900277E-03,  3.701199964E-02
1.086571217E-01, 4.075121135E-03,  3.718499839E-02
1.102466956E-01, 4.062455613E-03,  3.735800087E-02
1.118469015E-01, 4.049900919E-03,  3.753399849E-02
1.134577915E-01, 4.037453793E-03,  3.771600127E-02
1.150793955E-01, 4.025113303E-03,  3.790000081E-02
1.167117655E-01, 4.012878519E-03,  3.808499873E-02
1.183549538E-01, 4.000749439E-03,  3.827600181E-02
1.200089902E-01, 3.988724202E-03,  3.847000003E-02
1.216739267E-01, 3.976801410E-03,  3.866900131E-02
1.233498007E-01, 3.964978270E-03,  3.886900097E-02
1.250366569E-01, 3.953252919E-03,  3.907499835E-02
1.267345399E-01, 3.941623494E-03,  3.928299993E-02
1.284434944E-01, 3.930088133E-03,  3.949800134E-02
1.301635504E-01, 3.918643575E-03,  3.971200064E-02
1.318947524E-01, 3.907286562E-03,  3.993599862E-02
1.336371601E-01, 3.896014998E-03,  4.015899822E-02
1.353907883E-01, 3.884826088E-03,  4.038900137E-02
1.371556818E-01, 3.873719135E-03,  4.062100127E-02
1.389319003E-01, 3.862693207E-03,  4.086000100E-02
1.407194734E-01, 3.851746442E-03,  4.110100120E-02
1.425184160E-01, 3.840876510E-03,  4.134900123E-02
1.443288028E-01, 3.830081783E-03,  4.160200059E-02
1.461506635E-01, 3.819360165E-03,  4.185799882E-02
1.479840279E-01, 3.808709560E-03,  4.211699963E-02
1.498289257E-01, 3.798127873E-03,  4.238599911E-02
1.516854167E-01, 3.787612775E-03,  4.265699908E-02
1.535535157E-01, 3.777160775E-03,  4.293400049E-02
1.554332823E-01, 3.766768845E-03,  4.321400076E-02
1.573247313E-01, 3.756433958E-03,  4.350300133E-02
1.592279077E-01, 3.746154951E-03,  4.379500076E-02
1.611428410E-01, 3.735930659E-03,  4.409300163E-02
1.630695611E-01, 3.725759685E-03,  4.439700022E-02
1.650081277E-01, 3.715640400E-03,  4.470999911E-02
1.669585407E-01, 3.705570707E-03,  4.502600059E-02
1.689208597E-01, 3.695548279E-03,  4.535099864E-02
1.708951145E-01, 3.685571253E-03,  4.567899927E-02
1.728813201E-01, 3.675637301E-03,  4.601600021E-02
1.748795062E-01, 3.665744094E-03,  4.635800049E-02
1.768897325E-01, 3.655889304E-03,  4.670999944E-02
1.789119989E-01, 3.646069905E-03,  4.706799984E-02
1.809463501E-01, 3.636282403E-03,  4.743099958E-02
1.829928160E-01, 3.626524005E-03,  4.780400172E-02
1.850514114E-01, 3.616792848E-03,  4.818499833E-02
1.871221811E-01, 3.607087303E-03,  4.857299849E-02
1.892051548E-01, 3.597405739E-03,  4.896900058E-02
1.913003325E-01, 3.587746294E-03,  4.937399924E-02
1.934077740E-01, 3.578106640E-03,  4.978600144E-02
1.955274791E-01, 3.568484215E-03,  5.020900071E-02
1.976594776E-01, 3.558876691E-03,  5.064100027E-02
1.998037994E-01, 3.549281741E-03,  5.108200014E-02
2.019604743E-01, 3.539696336E-03,  5.153200030E-02
2.041295022E-01, 3.530117916E-03,  5.199100077E-02
2.063109279E-01, 3.520543221E-03,  5.246200040E-02
2.085047662E-01, 3.510968527E-03,  5.294499919E-02
2.107110322E-01, 3.501389874E-03,  5.343599990E-02
2.129297554E-01, 3.491804469E-03,  5.393999815E-02
2.151609361E-01, 3.482210217E-03,  5.445599928E-02
2.174046040E-01, 3.472604789E-03,  5.498300120E-02
2.196607888E-01, 3.462985391E-03,  5.552300066E-02
2.219294906E-01, 3.453348763E-03,  5.607400090E-02
2.242107242E-01, 3.443691181E-03,  5.663999915E-02
2.265045196E-01, 3.434009152E-03,  5.721800029E-02
